id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
315,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,0
316,7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,1
317,9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,1
318,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,0
319,6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,0
320,10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,0
321,7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,0
322,8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,1
323,10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,1
324,11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,1
325,9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,1
326,10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,0
327,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,0
328,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,0
329,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,0
330,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,0
331,7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,1
332,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,1
333,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,0
334,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,1
335,10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,0
336,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,0
337,7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,0
338,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,1
339,6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,1
340,5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,1
341,10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,1
342,8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,0
343,12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,1
344,11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,0
345,6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,0
346,9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,0
347,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,0
348,6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,1
349,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,1
350,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,1
351,7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,0
352,7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,0
353,6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,1
354,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,0
355,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,1
356,6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,1
357,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,1
358,8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,1
359,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,0
360,11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,1
361,6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,0
362,10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,1
363,6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,0
364,6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,1
365,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,1
366,5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,1
367,7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,0
368,10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,1
369,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,1
370,5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,0
371,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,0
372,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,0
373,7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,1
374,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,0
375,9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,0
376,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,1
377,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,1
378,8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,1
379,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,1
380,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,1
381,7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,0
382,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,0
383,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,0
384,5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,1
385,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,0
386,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,0
387,8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,1
388,8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,1
389,12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,1
390,7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,1
391,10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,1
392,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,0
393,9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,0
394,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,1
395,8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,0
396,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,1
397,10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,0
398,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,1
399,10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,1
400,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,1
401,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,0
402,6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,1
403,10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,1
404,6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,0
405,8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,1
406,7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,1
407,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,1
408,7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,1
409,7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,1
410,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,1
411,9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,0
412,7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,1
413,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,0
414,9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,1
415,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,1
416,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,0
417,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,0
418,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,1
419,7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,0
420,11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,0
421,9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,1
422,6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,0
423,13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,0
424,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,1
425,7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,1
426,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,1
427,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,0
428,7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,1
429,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,1
430,7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,0
431,9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,0
432,7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,1
433,8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,0
434,9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,0
435,7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,0
436,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,1
437,6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,0
438,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,1
439,9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,0
440,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,1
441,5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,1
442,6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,1
443,7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,1
444,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,1
445,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,0
446,5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,1
447,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,1
448,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,1
449,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,0
450,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,1
451,6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,0
452,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,0
453,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,1
454,7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,1
455,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,0
456,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,1
457,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,1
458,8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,1
459,8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,0
460,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,0
461,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,1
462,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,0
463,7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,0
464,8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,1
465,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,1
466,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,0
467,9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,0
468,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,0
469,7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,1
470,10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,1
471,6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,0
472,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,0
473,8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,1
474,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,1
475,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,1
476,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,0
477,7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,0
478,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,1
479,6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,0
480,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,0
481,5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,1
482,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,0
483,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,1
484,11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,1
485,9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,0
486,9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,0
487,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,1
488,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,0
489,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,0
490,9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,0
491,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,1
492,8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,1
493,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,1
494,7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,0
495,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,0
496,7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,0
497,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,0
498,7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,1
499,6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,1
500,6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,1
501,11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,1
502,9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,1
503,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,1
504,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,0
505,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,1
506,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,1
507,5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,1
508,9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,0
509,8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,1
510,7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,0
511,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,1
512,7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,0
513,7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,1
514,8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,0
515,7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,1
516,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,0
517,7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,0
518,7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,1
519,7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,0
520,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,1
521,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,1
522,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,0
523,7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,0
524,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,1
525,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,0
526,13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,1
527,9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,0
528,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,1
529,10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,1
530,6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,1
531,11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,0
532,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,1
533,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,0
534,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,1
535,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,0
536,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,0
537,7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,0
538,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,1
539,6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,1
540,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,0
541,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,1
542,8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,1
543,6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,0
544,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,0
545,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,0
546,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,0
547,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,0
548,9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,1
549,10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,0
550,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,1
551,8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,0
552,9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,1
553,7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,0
554,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,0
555,12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,1
556,9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,1
557,10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,1
558,9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,1
559,8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,1
560,9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,0
561,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,0
562,11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,1
563,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,0
564,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,1
565,8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,1
566,9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,1
567,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,0
568,13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,1
569,8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,0
570,9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,0
571,6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,1
572,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,1
573,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,0
574,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,1
575,7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,0
576,9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,1
577,7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,1
578,7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,1
579,7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,0
580,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,0
581,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,1
582,7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,1
583,8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,1
584,7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,1
585,9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,1
586,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,0
587,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,0
588,6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,1
589,7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,1
590,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,0
591,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,1
592,9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,1
593,12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,1
594,7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,0
595,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,1
596,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,0
597,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,1
598,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,1
599,6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,0
600,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,0
601,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,0
602,8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,0
603,7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,0
604,9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,0
605,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,1
606,10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,1
607,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,1
608,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,0
609,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,1
610,8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,0
611,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,0
612,11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,1
613,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,1
614,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,0
615,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,0
616,12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,1
617,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,1
618,6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,0
619,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,0
620,6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,1
621,8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,1
622,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,1
623,8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,0
624,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,0
625,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,1
626,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,0
627,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,0
628,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,1
629,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,0
630,9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,1
